name,price,description,imageUrl,category
Gạo ST25,25000,Gạo thơm đặc sản An Giang chất lượng cao,picture/gao.png,Lúa gạo
Cà chua bi,15000,Cà chua bi tươi ngon từ Đà Lạt,picture/ca-chua-bi.png,Rau củ
Xoài cát Hòa Lộc,45000,Xoài cát Hòa Lộc Tiền Giang ngọt thơm,picture/xoai-hl.png,Trái cây
Cà phê Arabica,180000,Cà phê Arabica nguyên chất Đắk Lắk,picture/rau-muong.png,Thực phẩm khô
Dưa hấu không hạt,12000,Dưa hấu không hạt tươi mát,https://example.com/images/dua-hau.jpg,Trái cây
Rau muống,8000,Rau muống tươi xanh sạch,https://example.com/images/rau-muong.jpg,Rau lá
Bưởi da xanh,35000,Bưởi da xanh Bến Tre ngọt mát,https://example.com/images/buoi-da-xanh.jpg,Trái cây
Cải thảo,18000,Cải thảo tươi Đà Lạt,https://example.com/images/cai-thao.jpg,Rau củ
Chôm chôm,28000,Chôm chôm Bến Tre ngọt thơm,https://example.com/images/chom-chom.jpg,Trái cây
Hành tây,22000,Hành tây tím Lý Sơn,https://example.com/images/hanh-tay.jpg,Rau củ
Táo Fuji,65000,Táo Fuji nhập khẩu tươi ngon,https://example.com/images/tao-fuji.jpg,Trái cây
Khoai lang,12000,Khoai lang Nhật Bản ngọt bùi,https://example.com/images/khoai-lang.jpg,Rau củ
Dứa Cây,15000,Dứa cây Hậu Giang ngọt mát,https://example.com/images/dua-cay.jpg,Trái cây
Bắp cải,20000,Bắp cải tươi Đà Lạt,https://example.com/images/bap-cai.jpg,Rau củ
Ớt chuông,35000,Ớt chuông đỏ Đà Lạt,https://example.com/images/ot-chuong.jpg,Rau củ
Chuối tiêu,18000,Chuối tiêu Đồng Nai chín vàng,https://example.com/images/chuoi-tieu.jpg,Trái cây
Cam sành,30000,Cam sành Hà Giang ngọt thanh,https://example.com/images/cam-sanh.jpg,Trái cây
Rau bina,15000,Rau bina organic tươi xanh,https://example.com/images/rau-bina.jpg,Rau lá
Su hào,25000,Su hào tươi Đà Lạt giòn ngọt,https://example.com/images/su-hao.jpg,Rau củ
Măng cụt,45000,Măng cụt Cần Thơ thơm ngọt,https://example.com/images/mang-cut.jpg,Trái cây
Đu đủ,20000,Đu đủ xanh làm gỏi,https://example.com/images/du-du.jpg,Trái cây
Nấm hương,55000,Nấm hương tươi Đà Lạt,https://example.com/images/nam-huong.jpg,Nấm
Lê Hàn Quốc,70000,Lê Hàn Quốc ngọt mát,https://example.com/images/le-han-quoc.jpg,Trái cây
Đậu bắp,25000,Đậu bắp non Đà Lạt,https://example.com/images/dau-bap.jpg,Rau củ
Vải thiều,40000,Vải thiều Bắc Giang ngọt thơm,https://example.com/images/vai-thieu.jpg,Trái cây
Khoai tây,18000,Khoai tây Đà Lạt to đều,https://example.com/images/khoai-tay.jpg,Rau củ
Nhãn long,35000,Nhãn long Hưng Yên ngọt dịu,https://example.com/images/nhan-long.jpg,Trái cây
Bí đỏ,12000,Bí đỏ Đà Lạt bùi ngọt,https://example.com/images/bi-do.jpg,Rau củ
Sầu riêng,120000,Sầu riêng Monthong Đắk Lắk,https://example.com/images/sau-rieng.jpg,Trái cây
Nho xanh,85000,Nho xanh không hạt Ninh Thuận,https://example.com/images/nho-xanh.jpg,Trái cây
Cà tím,22000,Cà tím tròn Đà Lạt,https://example.com/images/ca-tim.jpg,Rau củ
Táo gala,60000,Táo gala đỏ tươi ngon,https://example.com/images/tao-gala.jpg,Trái cây
Bí ngồi,15000,Bí ngồi xanh Đà Lạt,https://example.com/images/bi-ngoi.jpg,Rau củ
Chà là,55000,Chà là Iran khô ngọt,https://example.com/images/cha-la.jpg,Trái cây khô
Cần tây,30000,Cần tây Đà Lạt thơm mát,https://example.com/images/can-tay.jpg,Rau lá
Nho đỏ,95000,Nho đỏ có hạt Phan Rang,https://example.com/images/nho-do.jpg,Trái cây
Củ dền,8000,Củ dền đỏ bổ dưỡng,https://example.com/images/cu-den.jpg,Rau củ
Thanh long,25000,Thanh long ruột đỏ Bình Thuận,https://example.com/images/thanh-long.jpg,Trái cây
Rau dền,12000,Rau dền đỏ giàu sắt,https://example.com/images/rau-den.jpg,Rau lá
Chanh dây,35000,Chanh dây tím thơm chua,https://example.com/images/chanh-day.jpg,Trái cây
Súp lơ,28000,Súp lơ trắng Đà Lạt,https://example.com/images/sup-lo.jpg,Rau củ
Mít thái,30000,Mít thái ngọt thơm,https://example.com/images/mit-thai.jpg,Trái cây
Ớt hiểm,45000,Ớt hiểm Tây Ninh cay nồng,https://example.com/images/ot-hiem.jpg,Gia vị
Mận tím,50000,Mận tím Sapa chua ngọt,https://example.com/images/man-tim.jpg,Trái cây
Đậu cove,35000,Đậu cove xanh giòn,https://example.com/images/dau-cove.jpg,Rau củ
Roi thái,25000,Roi thái ngọt mát,https://example.com/images/roi-thai.jpg,Trái cây
